,titles,content,url
43,Uvalde Hires Private Law Firm to Argue It Doesn't Have to Release School Shooting Public Records,The City of Uvalde and its police department are working with a private law firm to prevent the release of nearly any record related to the mass shooting at Robb Elementary School in which 19 childre… [+6609 chars],https://www.vice.com/en/article/88q95p/uvalde-contracts-private-law-firm-to-argue-it-doesnt-have-to-release-school-shooting-public-records
44,Homophobia large portion of online abuse aimed at footballers and basketballers - study,"In April 2021, athletes and several sports such as football, cricket, rugby union and rugby league joined a four-day boycott of social media in an attempt to tackle abuse and discrimination on their … [+6198 chars]",https://www.bbc.co.uk/sport/football/61912426
45,"George Ezra: Gold Rush Kid review – introspective, sunshine-ready pop","As buoyant as bouncy castles and as shiny as their creators ruddy cheeks, George Ezra singles have become unofficial summer anthems since the big-voiced 29-year-old first emerged with 2013s Budapest.… [+1002 chars]",https://amp.theguardian.com/music/2022/jun/12/george-ezra-gold-rush-kid-review-introspective-sunshine-ready-pop
46,Creative Journaling For Mental Health (And How To Get Started),"What is creative journaling for mental health? Is it writing in a colorful diary with your favorite pen, doodling on your calendar, or recording your feelings and insights in a Google document?
Jour… [+10450 chars]",https://www.lifehack.org/924277/creative-journaling-for-mental-health
47,"As summer officially begins, millions have already suffered sweltering heat with little hope for quick relief","(CNN)Though summer officially begins on Tuesday, millions of Americans have already been buffeted by triple-digit temperatures and dangerously high heat, which is only expected to continue as a secon… [+3814 chars]",https://www.cnn.com/2022/06/21/weather/heat-wave-second-week-record-temperatures-tuesday/index.html
48,The photographer documenting Australia's abandoned places,"(CNN) Brett Patman never set out to be a photographer.
He began his working career as a tradesman, working inside some of Australia's factories, power stations and other industrial sites. But photog… [+2781 chars]",https://www.cnn.com/travel/article/brett-patman-lost-collective-australia-cmb/index.html
49,Hamas releases video of Israeli citizen held captive since 2015,"Gazas Hamas rulers have released a video of a captive Israeli citizen held incommunicado since 2015, showing the man lying in a hospital bed wearing an oxygen mask.
It was the first image of Hisham … [+2480 chars]",https://amp.theguardian.com/world/2022/jun/28/hamas-releases-video-of-israeli-citizen-held-captive-since-2015
50,Mad House review – David Harbour and Bill Pullman spar in dark family psychodrama,"Theresa Rebecks play opens as a dysfunctional father-son drama with dark laughs. The father is terminally ill, sucking on an oxygen cylinder, though still able to hurl accusations of abuse at his son… [+3195 chars]",https://amp.theguardian.com/stage/2022/jun/27/mad-house-review-david-harbour-and-bill-pullman-spar-in-dark-family-psychodrama
51,Jack Nowell: ‘Manu is always one of the first to text me when I’m injured’,No wonder Jack Nowell and Manu Tuilagi are increasingly close friends. Both should be at the peak of their careers but injuries have collectively restricted them to a total of 10 Tests for England si… [+4121 chars],https://amp.theguardian.com/sport/2022/jun/29/jack-nowell-manu-tuilagi-england-australia-rugby-union
52,"Balancing on one leg may be useful health test in later life, research suggests","If you have difficulty standing on one leg, it could be a sign of something more serious than overdoing it at the office summer drinks party. Middle-aged and elderly people who cannot balance on one … [+2814 chars]",https://amp.theguardian.com/society/2022/jun/20/balancing-on-one-leg-useful-health-test-later-life-research
53,Designing Hospitals that Promote Staff Wellbeing,"Three lessons on creating spaces that reduce stress, burnout, and turnover.
""&gt;
Even before Covid-19, rates of behavioral health illness were on the rise. In the third year of the pandemic, menta… [+8581 chars]",https://hbr.org/2022/06/designing-hospitals-that-promote-staff-wellbeing
54,Man accused in fatal Wisconsin parade crash changes plea,"MADISON, Wis. (AP) A man accused of killing six people and injuring dozens more when he allegedly drove his SUV through a Christmas parade in suburban Milwaukee last year has decided to mount an insa… [+2209 chars]",https://news.yahoo.com/man-accused-fatal-wisconsin-parade-221846790.html
55,Simone Biles swipes back at Trump lawyer who called her a 'loser' after she was awarded the Presidential Medal of Freedom: 'Who is Jenna Ellis?',"President Joe Biden awards the nation's highest civilian honor, the Presidential Medal of Freedom, to gymnast Simone Biles during a ceremony in the East Room of the White House in Washington, Thursda… [+2059 chars]",https://www.insider.com/simone-biles-jenna-ellis-who-called-her-a-loser-2022-7
56,Why Do Mental Illnesses--From Depression to Schizophrenia--Raise the Risk of Dementia?,"Age is the single biggest risk factor for dementia, with the odds doubling about every five years after age 65. But many things influence those odds for a given individual. Genetic vulnerability is a… [+4611 chars]",https://www.scientificamerican.com/article/why-do-mental-illnesses-from-depression-to-schizophrenia-raise-the-risk-of-dementia/
57,US Open 2022: Matt Fitzpatrick and Will Zalatoris lead going into final round,"Matt Fitzpatrick won the 2013 US Amateur title at Brookline
England's Matt Fitzpatrick takes a share of the lead into the final round of the US Open as he chases his first major title at Brookline C… [+2505 chars]",https://www.bbc.co.uk/sport/golf/61855200
58,The Mental Floss Summer 2022 Reading List,"This article contains affiliate links to products selected by our editors. Mental Floss may receive a commission for purchases made through these links.
Summer is here, and if you're looking to unwi… [+17083 chars]",https://www.mentalfloss.com/posts/mental-floss-summer-reading-list-2022
59,Barcelona to sport UNHCR logo in place of UNICEF - Reuters.com,"June 14 (Reuters) - Barcelona have signed a partnership deal with UNHCR, the United Nations Refugee Agency, whose logo will feature on the Spanish team's latest shirt in support of refugee children, … [+1614 chars]",https://www.reuters.com/lifestyle/sports/barcelona-sport-unhcr-logo-place-unicef-2022-06-14/
60,"HIPAA allows audio-only telehealth, HHS says in new guidance - Reuters.com","(Reuters) - The U.S. Department of Health and Human Services (HHS) on Monday announced guidance clarifying how audio-only telemedicine can comply with federal medical privacy law, including after mea… [+1655 chars]",https://www.reuters.com/legal/litigation/hipaa-allows-audio-only-telehealth-hhs-says-new-guidance-2022-06-13/
